month,region,region_code,claimant_count
October 2009,Yorkshire and The Humber,E12000003,154900
October 2009,East Midlands,E12000004,111600
October 2009,West Midlands,E12000005,179905
October 2009,East,E12000006,118345
October 2009,London,E12000007,228285
October 2009,South East,E12000008,154840
October 2009,South West,E12000009,91625
October 2009,Wales,W92000004,78235
October 2009,Scotland,S92000003,129510
November 2009,North East,E12000001,84640
November 2009,North West,E12000002,195740
November 2009,Yorkshire and The Humber,E12000003,154280
November 2009,East Midlands,E12000004,109900
November 2009,West Midlands,E12000005,176695
November 2009,East,E12000006,116740
November 2009,London,E12000007,222850
November 2009,South East,E12000008,154675
November 2009,South West,E12000009,91620
November 2009,Wales,W92000004,77895
November 2009,Scotland,S92000003,131870
December 2009,North East,E12000001,85625
December 2009,North West,E12000002,194775
December 2009,Yorkshire and The Humber,E12000003,155795
December 2009,East Midlands,E12000004,110065
December 2009,West Midlands,E12000005,175810
December 2009,East,E12000006,116510
December 2009,London,E12000007,220865
December 2009,South East,E12000008,152605
December 2009,South West,E12000009,90050
December 2009,Wales,W92000004,78085
December 2009,Scotland,S92000003,133740
January 2010,North East,E12000001,90770
January 2010,North West,E12000002,205915
January 2010,Yorkshire and The Humber,E12000003,163700
January 2010,East Midlands,E12000004,115220
January 2010,West Midlands,E12000005,183420
January 2010,East,E12000006,124365
January 2010,London,E12000007,226080
January 2010,South East,E12000008,162570
January 2010,South West,E12000009,97780
January 2010,Wales,W92000004,83175
January 2010,Scotland,S92000003,144870
February 2010,North East,E12000001,89640
February 2010,North West,E12000002,204155
February 2010,Yorkshire and The Humber,E12000003,164640
February 2010,East Midlands,E12000004,115430
February 2010,West Midlands,E12000005,183245
February 2010,East,E12000006,124495
February 2010,London,E12000007,229245
February 2010,South East,E12000008,161395
February 2010,South West,E12000009,98035
February 2010,Wales,W92000004,82985
February 2010,Scotland,S92000003,146910
March 2010,North East,E12000001,86450
March 2010,North West,E12000002,197495
March 2010,Yorkshire and The Humber,E12000003,159965
March 2010,East Midlands,E12000004,112430
March 2010,West Midlands,E12000005,178045
March 2010,East,E12000006,121370
March 2010,London,E12000007,227355
March 2010,South East,E12000008,156260
March 2010,South West,E12000009,94290
March 2010,Wales,W92000004,80090
March 2010,Scotland,S92000003,144445
April 2010,North East,E12000001,83225
April 2010,North West,E12000002,191825
April 2010,Yorkshire and The Humber,E12000003,156330
April 2010,East Midlands,E12000004,108730
April 2010,West Midlands,E12000005,172400
April 2010,East,E12000006,118675
April 2010,London,E12000007,222755
April 2010,South East,E12000008,151880
April 2010,South West,E12000009,89090
April 2010,Wales,W92000004,77155
April 2010,Scotland,S92000003,140210
May 2010,North East,E12000001,80105
May 2010,North West,E12000002,183840
May 2010,Yorkshire and The Humber,E12000003,150530
May 2010,East Midlands,E12000004,103010
May 2010,West Midlands,E12000005,164445
May 2010,East,E12000006,112155
May 2010,London,E12000007,218735
May 2010,South East,E12000008,142340
May 2010,South West,E12000009,83770
May 2010,Wales,W92000004,72565
May 2010,Scotland,S92000003,135540
June 2010,North East,E12000001,78255
June 2010,North West,E12000002,177275
June 2010,Yorkshire and The Humber,E12000003,142390
June 2010,East Midlands,E12000004,97760
June 2010,West Midlands,E12000005,158105
June 2010,East,E12000006,106765
June 2010,London,E12000007,212360
June 2010,South East,E12000008,134115
June 2010,South West,E12000009,79325
June 2010,Wales,W92000004,68960
June 2010,Scotland,S92000003,133455
July 2010,North East,E12000001,77865
July 2010,North West,E12000002,177065
July 2010,Yorkshire and The Humber,E12000003,140910
July 2010,East Midlands,E12000004,96750
July 2010,West Midlands,E12000005,156690
July 2010,East,E12000006,105760
July 2010,London,E12000007,212520
July 2010,South East,E12000008,132020
July 2010,South West,E12000009,78085
July 2010,Wales,W92000004,69210
July 2010,Scotland,S92000003,137110
August 2010,North East,E12000001,78515
