month,region,age_band,claimants
March 2006,South West,Aged 16-24,15685
March 2006,South West,Aged 25-49,25105
March 2006,South West,Aged 50+,9100
March 2006,Wales,Age unknown (clerical claims),230
March 2006,Wales,Aged 16-24,17400
March 2006,Wales,Aged 25-49,23235
March 2006,Wales,Aged 50+,7055
March 2006,Scotland,Age unknown (clerical claims),550
March 2006,Scotland,Aged 16-24,30190
March 2006,Scotland,Aged 25-49,48730
March 2006,Scotland,Aged 50+,15890
April 2006,North East,Age unknown (clerical claims),330
April 2006,North East,Aged 16-24,17845
April 2006,North East,Aged 25-49,25430
April 2006,North East,Aged 50+,8225
